InternalName;IDnumber;Name;Description;TotalPP;BasePower;Priority;DamageCategory;FunctionCode;Flags;Accuracy;Type;AdditionalEffectChance;Target
TAILGLOW;21;Tail Glow;The user stares at flashing lights to focus its mind, drastically raising its Sp. Atk stat.;20;0;0;Status;039;d;0;BUG;0;10
FOULPLAY;22;Foul Play;The user turns the foe's power against it. It does more damage the higher the target's Attack stat.;15;95;0;Physical;121;abef;100;DARK;0;00
NIGHTDAZE;23;Night Daze;The user lets loose a pitch-black shock wave at its target. It may also lower the target's accuracy.;10;85;0;Special;047;bef;95;DARK;40;00
CRUNCH;24;Crunch;The user crunches up the target with sharp fangs. It may also lower the target's Defense stat.;15;80;0;Physical;043;abefi;100;DARK;20;00
DARKPULSE;25;Dark Pulse;The user releases a horrible aura imbued with dark thoughts. It may also make the target flinch.;15;80;0;Special;00F;bem;100;DARK;20;00
SUCKERPUNCH;26;Sucker Punch;This move enables the user to attack first. It fails if the target is not readying an attack, however.;5;80;1;Physical;116;abef;100;DARK;0;00
NIGHTSLASH;27;Night Slash;The user slashes the target the instant an opportunity arises. Critical hits land more easily.;15;70;0;Physical;000;abefh;100;DARK;0;00
BITE;28;Bite;The target is bitten with viciously sharp fangs. It may make the target flinch.;25;60;0;Physical;00F;abei;100;DARK;30;00
FEINTATTACK;29;Feint Attack;The user draws up to the foe disarmingly, then throws a sucker punch. It hits without fail.;20;60;0;Physical;0A5;abef;0;DARK;0;00
SNARL;30;Snarl;The user yells as if it is ranting about something, making the target's Sp. Atk stat decrease.;15;55;0;Special;045;befk;95;DARK;100;04
ASSURANCE;31;Assurance;If the target has already taken some damage in the same turn, this attack's power is doubled.;10;50;0;Physical;082;abef;100;DARK;0;00
PAYBACK;32;Payback;If the user moves after the target, this attack's power will be doubled.;10;50;0;Physical;084;abef;100;DARK;0;00
PURSUIT;33;Pursuit;An attack move that inflicts double damage if used on a target that is switching out of battle.;20;40;0;Physical;088;abef;100;DARK;0;00
THIEF;34;Thief;The user attacks and steals the foe's held item simultaneously. It can't steal if the user holds an item.;10;40;0;Physical;0F1;abef;100;DARK;0;00
KNOCKOFF;35;Knock Off;The user slaps down the target's held item, preventing that item from being used in the battle.;20;20;0;Physical;0F0;abef;100;DARK;0;00
BEATUP;36;Beat Up;The user gets all the party Pokemon to attack the foe. The more party Pokemon, the more damage.;10;1;0;Physical;0C1;bef;100;DARK;0;00
FLING;37;Fling;The user flings its held item at the target to attack. Its power and effects depend on the item.;10;1;0;Physical;0F7;be;100;DARK;0;00
PUNISHMENT;38;Punishment;This attack's power increases the more the target has powered up with stat changes.;5;1;0;Physical;08F;abef;100;DARK;0;00
DARKVOID;39;Dark Void;Opposing Pokemon are dragged into a world of total darkness that makes them sleep.;10;0;0;Status;003;bce;80;DARK;0;04
EMBARGO;40;Embargo;It prevents the target from using its held item. Its Trainer is also prevented from using items on it.;15;0;0;Status;0F8;bce;100;DARK;0;00
FAKETEARS;41;Fake Tears;The user feigns crying to fluster the target, harshly lowering its Sp. Def stat.;20;0;0;Status;04F;bce;100;DARK;0;00
FLATTER;42;Flatter;Flattery is used to confuse the target. However, it also raises the target's Sp. Atk stat.;15;0;0;Status;040;bce;100;DARK;0;00
HONECLAWS;43;Hone Claws;The user sharpens its claws to boost its Attack stat and accuracy.;15;0;0;Status;029;d;0;DARK;0;10
MEMENTO;44;Memento;The user faints when using this move. In return, it harshly lowers the target's Attack and Sp. Atk.;10;0;0;Status;0E2;be;100;DARK;0;00
NASTYPLOT;45;Nasty Plot;The user stimulates its brain by thinking bad thoughts. It sharply raises the user's Sp. Atk.;20;0;0;Status;032;d;0;DARK;0;10
QUASH;46;Quash;The user suppresses the target and makes its move go last.;15;0;0;Status;11E;bce;100;DARK;0;00
SNATCH;47;Snatch;The user steals the effects of any healing or stat-changing move the foe attempts to use.;10;0;4;Status;0B2;;0;DARK;0;10
SWITCHEROO;48;Switcheroo;The user trades held items with the target faster than the eye can follow.;10;0;0;Status;0F2;be;100;DARK;0;00
TAUNT;49;Taunt;The target is taunted into a rage that allows it to use only attack moves for three turns.;20;0;0;Status;0BA;bce;100;DARK;0;00
TORMENT;50;Torment;The user torments and enrages the foe, making it incapable of using the same move twice in a row.;15;0;0;Status;0B7;bce;100;DARK;0;00
ROAROFTIME;51;Roar of Time;The user blasts the target with power that distorts even time. The user must rest on the next turn.;5;150;0;Special;0C2;bef;90;DRAGON;0;00
DRACOMETEOR;52;Draco Meteor;Comets are summoned down from the sky. The attack's recoil harshly reduces the user's Sp. Atk stat.;5;140;0;Special;03F;bef;90;DRAGON;0;00
OUTRAGE;53;Outrage;The user rampages and attacks for two to three turns. It then becomes confused, however.;10;120;0;Physical;0D2;abef;100;DRAGON;0;02
DRAGONRUSH;54;Dragon Rush;The user tackles the foe while exhibiting overwhelming menace. It may also make the target flinch.;10;100;0;Physical;010;abe;75;DRAGON;20;00
SPACIALREND;55;Spacial Rend;The user tears the target along with the space around it. Critical hits land more easily.;5;100;0;Special;000;befh;95;DRAGON;0;00
DRAGONPULSE;56;Dragon Pulse;The target is attacked with a shock wave generated by the user's gaping mouth.;10;90;0;Special;000;befm;100;DRAGON;0;00
DRAGONCLAW;57;Dragon Claw;The user slashes the target with huge, sharp claws.;15;80;0;Physical;000;abef;100;DRAGON;0;00
DRAGONTAIL;58;Dragon Tail;The user knocks away the target and drags out another Pokemon in its party. In the wild, the battle ends.;10;60;-6;Physical;0EC;abef;90;DRAGON;0;00
DRAGONBREATH;59;Dragon Breath;The user exhales a mighty gust that inflicts damage. It may also leave the target with paralysis.;20;60;0;Special;007;bef;100;DRAGON;30;00
DUALCHOP;60;Dual Chop;The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.;15;40;0;Physical;0BD;abef;90;DRAGON;0;00
TWISTER;61;Twister;The user whips up a vicious tornado to tear at the opposing team. It may also make targets flinch.;20;40;0;Special;078;be;100;DRAGON;20;04
DRAGONRAGE;62;Dragon Rage;This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.;10;1;0;Special;06B;bef;100;DRAGON;0;00
DRAGONDANCE;63;Dragon Dance;The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats.;20;0;0;Status;026;d;0;DRAGON;0;10
BOLTSTRIKE;64;Bolt Strike;The user charges at its foe, surrounding itself with lightning. It may also leave the target paralyzed.;5;130;0;Physical;007;abef;85;ELECTRIC;20;00
THUNDER;65;Thunder;A wicked thunderbolt is dropped on the foe to inflict damage. It may also leave the target paralyzed.;10;120;0;Special;008;bef;70;ELECTRIC;30;00
VOLTTACKLE;66;Volt Tackle;The user electrifies itself, then charges at the foe. It causes considerable damage to the user as well.;15;120;0;Physical;0FD;abef;100;ELECTRIC;10;00
ZAPCANNON;67;Zap Cannon;The user fires an electric blast like a cannon to inflict damage and cause paralysis.;5;120;0;Special;007;befn;50;ELECTRIC;100;00
FUSIONBOLT;68;Fusion Bolt;The user throws down a giant thunderbolt. It does more damage if influenced by an enormous flame.;5;100;0;Physical;079;bef;100;ELECTRIC;0;00
THUNDERBOLT;69;Thunderbolt;A strong electric blast is loosed at the target. It may also leave the target with paralysis.;15;95;0;Special;007;bef;100;ELECTRIC;10;00
WILDCHARGE;70;Wild Charge;The user shrouds itself in electricity and smashes into its foe. It also damages the user a little.;15;90;0;Physical;0FA;abef;100;ELECTRIC;0;00
DISCHARGE;71;Discharge;A flare of electricity is loosed to strike the area around the user. It may also cause paralysis.;15;80;0;Special;007;bef;100;ELECTRIC;30;08
THUNDERPUNCH;72;Thunder Punch;The target is punched with an electrified fist. It may also leave the target with paralysis.;15;75;0;Physical;007;abefj;100;ELECTRIC;10;00
VOLTSWITCH;73;Volt Switch;After making its attack, the user rushes back to switch places with a party Pokemon in waiting.;20;70;0;Special;0EE;bef;100;ELECTRIC;0;00
SPARK;74;Spark;The user throws an electrically charged tackle at the target. It may also leave the target with paralysis.;20;65;0;Physical;007;abef;100;ELECTRIC;30;00
THUNDERFANG;75;Thunder Fang;The user bites with electrified fangs. It may also make the target flinch or leave it with paralysis.;15;65;0;Physical;009;abei;95;ELECTRIC;100;00
SHOCKWAVE;76;Shock Wave;The user strikes the target with a quick jolt of electricity. This attack cannot be evaded.;20;60;0;Special;0A5;bef;0;ELECTRIC;0;00
ELECTROWEB;77;Electroweb;The user captures and attacks foes by using an electric net, which lowers their Speed stat.;15;55;0;Special;044;bef;95;ELECTRIC;100;04
CHARGEBEAM;78;Charge Beam;The user fires a concentrated bundle of electricity. It may also raise the user's Sp. Atk stat.;10;50;0;Special;020;bef;90;ELECTRIC;70;00
THUNDERSHOCK;79;Thunder Shock;A jolt of electricity is hurled at the foe to inflict damage. It may also leave the target with paralysis.;30;40;0;Special;007;bef;100;ELECTRIC;10;00
ELECTROBALL;80;Electro Ball;The user hurls an electric orb at the foe. It does more damage the faster the user is.;10;1;0;Special;099;befn;100;ELECTRIC;0;00
CHARGE;81;Charge;The user boosts the power of the Electric move it uses next. It also raises the user's Sp. Def stat.;20;0;0;Status;021;d;0;ELECTRIC;0;10
MAGNETRISE;82;Magnet Rise;The user levitates using electrically generated magnetism for five turns.;10;0;0;Status;119;d;0;ELECTRIC;0;10
THUNDERWAVE;83;Thunder Wave;A weak electric charge is launched at the target. It causes paralysis if it hits.;20;0;0;Status;007;bce;100;ELECTRIC;0;00
FOCUSPUNCH;84;Focus Punch;The user focuses its mind before launching a punch. It will fail if the user is hit before it is used.;20;150;-3;Physical;115;abfj;100;FIGHTING;0;00
HIGHJUMPKICK;85;High Jump Kick;The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead.;10;130;0;Physical;10B;abef;90;FIGHTING;0;00
CLOSECOMBAT;86;Close Combat;The user fights the foe up close without guarding itself. It also cuts the user's Defense and Sp. Def.;5;120;0;Physical;03C;abef;100;FIGHTING;0;00
FOCUSBLAST;87;Focus Blast;The user heightens its mental focus and unleashes its power. It may also lower the target's Sp. Def.;5;120;0;Special;046;befn;70;FIGHTING;10;00
SUPERPOWER;88;Superpower;The user attacks the target with great power. However, it also lowers the user's Attack and Defense.;5;120;0;Physical;03B;abef;100;FIGHTING;0;00
CROSSCHOP;89;Cross Chop;The user delivers a double chop with its forearms crossed. Critical hits land more easily.;5;100;0;Physical;000;abefh;80;FIGHTING;0;00
DYNAMICPUNCH;90;Dynamic Punch;The user punches the target with full, concentrated power. It confuses the target if it hits.;5;100;0;Physical;013;abefj;50;FIGHTING;100;00
HAMMERARM;91;Hammer Arm;The user swings and hits with its strong and heavy fist. It lowers the user's Speed, however.;10;100;0;Physical;03E;abefj;90;FIGHTING;0;00
JUMPKICK;92;Jump Kick;The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.;10;100;0;Physical;10B;abef;95;FIGHTING;0;00
AURASPHERE;93;Aura Sphere;The user looses a blast of aura power from deep within its body. This move is certain to hit.;20;90;0;Special;0A5;befmn;0;FIGHTING;0;00
SACREDSWORD;94;Sacred Sword;The user attacks by slicing with its long horns. The target's stat changes don't affect the damage.;20;90;0;Physical;0A9;abef;100;FIGHTING;0;00
SECRETSWORD;95;Secret Sword;The user cuts with its long horn. The odd power contained in it does physical damage to the foe.;10;85;0;Special;122;bef;100;FIGHTING;0;00
SKYUPPERCUT;96;Sky Uppercut;The user attacks the target with an uppercut thrown skyward with force.;15;85;0;Physical;11B;abefj;90;FIGHTING;0;00
SUBMISSION;97;Submission;The user grabs the target and recklessly dives for the ground. It also hurts the user slightly.;25;80;0;Physical;0FA;abef;80;FIGHTING;0;00
BRICKBREAK;98;Brick Break;The user attacks with a swift chop. It can also break any barrier such as Light Screen and Reflect.;15;75;0;Physical;10A;abef;100;FIGHTING;0;00
DRAINPUNCH;99;Drain Punch;An energy-draining punch. The user's HP is restored by half the damage taken by the target.;10;75;0;Physical;0DD;abefj;100;FIGHTING;0;00
VITALTHROW;100;Vital Throw;The user attacks last. In return, this throw move is guaranteed not to miss.;10;70;-1;Physical;0A5;abef;0;FIGHTING;0;00
CIRCLETHROW;101;Circle Throw;The user throws the target and drags out another Pokemon in its party. In the wild, the battle ends.;10;60;-6;Physical;0EC;abef;90;FIGHTING;0;00
FORCEPALM;102;Force Palm;The target is attacked with a shock wave. It may also leave the target with paralysis.;10;60;0;Physical;007;abef;100;FIGHTING;30;00
LOWSWEEP;103;Low Sweep;The user attacks the target's legs swiftly, reducing the target's Speed stat.;20;60;0;Physical;044;abef;100;FIGHTING;100;00
REVENGE;104;Revenge;An attack move that inflicts double the damage if the user has been hurt by the foe in the same turn.;10;60;-4;Physical;081;abef;100;FIGHTING;0;00
ROLLINGKICK;105;Rolling Kick;The user lashes out with a quick, spinning kick. It may also make the target flinch.;15;60;0;Physical;00F;abe;85;FIGHTING;30;00
WAKEUPSLAP;106;Wake-Up Slap;This attack inflicts big damage on a sleeping target. It also wakes the target up, however.;10;60;0;Physical;07D;abef;100;FIGHTING;0;00
KARATECHOP;107;Karate Chop;The target is attacked with a sharp chop. Critical hits land more easily.;25;50;0;Physical;000;abefh;100;FIGHTING;0;00
MACHPUNCH;108;Mach Punch;The user throws a punch at blinding speed. It is certain to strike first.;30;40;1;Physical;000;abefj;100;FIGHTING;0;00
ROCKSMASH;109;Rock Smash;The user attacks with a punch that can shatter a rock. It may also lower the foe's Defense stat.;15;40;0;Physical;043;abef;100;FIGHTING;50;00
STORMTHROW;110;Storm Throw;The user strikes the target with a fierce blow. This attack always results in a critical hit.;10;40;0;Physical;0A0;abef;100;FIGHTING;0;00
VACUUMWAVE;111;Vacuum Wave;The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.;30;40;1;Special;000;bef;100;FIGHTING;0;00
DOUBLEKICK;112;Double Kick;The target is quickly kicked twice in succession using both feet.;30;30;0;Physical;0BD;abef;100;FIGHTING;0;00
ARMTHRUST;113;Arm Thrust;The user looses a flurry of open-palmed arm thrusts that hit two to five times in a row.;20;15;0;Physical;0C0;abef;100;FIGHTING;0;00
TRIPLEKICK;114;Triple Kick;A consecutive three-kick attack that becomes more powerful with each successive hit.;10;10;0;Physical;0BF;abef;90;FIGHTING;0;00
COUNTER;115;Counter;A retaliation move that counters any physical attack, inflicting double the damage taken.;20;1;-5;Physical;071;abf;100;FIGHTING;0;01
FINALGAMBIT;116;Final Gambit;The user risks all to attack the foe. The user faints but does damage equal to its HP.;5;1;0;Special;0E1;abf;100;FIGHTING;0;00
LOWKICK;117;Low Kick;A powerful low kick that makes the foe fall over. It inflicts greater damage on heavier foes.;20;1;0;Physical;09A;abef;100;FIGHTING;0;00
REVERSAL;118;Reversal;An all-out attack that becomes more powerful the less HP the user has.;15;1;0;Physical;098;abef;100;FIGHTING;0;00
SEISMICTOSS;119;Seismic Toss;The target is thrown using the power of gravity. It inflicts damage equal to the user's level.;20;1;0;Physical;06D;abef;100;FIGHTING;0;00
BULKUP;120;Bulk Up;The user tenses its muscles to bulk up its body, boosting both its Attack and Defense stats.;20;0;0;Status;024;d;0;FIGHTING;0;10
DETECT;121;Detect;It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.;5;0;4;Status;0AA;;0;FIGHTING;0;10
QUICKGUARD;122;Quick Guard;The user protects itself and its allies from priority moves. If may fail if used in succession.;15;0;3;Status;0AB;;0;FIGHTING;0;40
VCREATE;123;V-create;With a fiery forehead, the user hurls itself at the foe. It lowers the user's Defense, Sp. Def, and Speed.;5;180;0;Physical;03D;abef;95;FIRE;0;00
BLASTBURN;124;Blast Burn;The target is razed by a fiery explosion. The user must rest on the next turn, however.;5;150;0;Special;0C2;bef;90;FIRE;0;00
ERUPTION;125;Eruption;The user attacks in an explosive fury. The lower the user's HP, the less powerful this attack becomes.;5;150;0;Special;08B;bef;100;FIRE;0;04
OVERHEAT;126;Overheat;The user attacks the target at full power. The attack's recoil sharply reduces the user's Sp. Atk stat.;5;140;0;Special;03F;bef;90;FIRE;0;00
BLUEFLARE;127;Blue Flare;The user attacks by engulfing the foe in a beautiful, yet intense, blue flame. It may also burn the foe.;5;130;0;Special;00A;bef;85;FIRE;20;00
FIREBLAST;128;Fire Blast;The foe is attacked with an intense blast of all-consuming fire. It may also leave the target with a burn.;5;120;0;Special;00A;bef;85;FIRE;10;00
FLAREBLITZ;129;Flare Blitz;The user cloaks itself in fire and charges at the foe. The user also takes damage and may burn the target.;15;120;0;Physical;0FE;abefg;100;FIRE;10;00
MAGMASTORM;130;Magma Storm;The target becomes trapped within a maelstrom of fire that rages for four to five turns.;5;120;0;Special;0CF;bef;75;FIRE;0;00
FUSIONFLARE;131;Fusion Flare;The user brings down a giant flame. It does more damage if influenced by an enormous thunderbolt.;5;100;0;Special;07A;befg;100;FIRE;0;00
HEATWAVE;132;Heat Wave;The user attacks by exhaling hot breath on the opposing team. It may also leave targets with a burn.;10;100;0;Special;00A;bef;90;FIRE;10;04
INFERNO;133;Inferno;The user attacks by engulfing the target in an intense fire. It leaves the target with a burn.;5;100;0;Special;00A;bef;50;FIRE;100;00
SACREDFIRE;134;Sacred Fire;The target is razed with a mystical fire of great intensity. It may also leave the target with a burn.;5;100;0;Physical;00A;befg;95;FIRE;50;00
SEARINGSHOT;135;Searing Shot;An inferno of scarlet flames torches everything around the user. It may leave the foe with a burn.;5;100;0;Special;00A;befn;100;FIRE;30;08
FLAMETHROWER;136;Flamethrower;The target is scorched with an intense blast of fire. It may also leave the target with a burn.;15;95;0;Special;00A;be;100;FIRE;10;00
BLAZEKICK;137;Blaze Kick;The user launches a kick with a high critical-hit ratio. It may also leave the target with a burn.;10;85;0;Physical;00A;abefh;90;FIRE;10;00
FIERYDANCE;138;Fiery Dance;Cloaked in flames, the user dances and flaps its wings. It may also raise the user's Sp. Atk stat.;10;80;0;Special;020;bef;100;FIRE;50;00
LAVAPLUME;139;Lava Plume;An inferno of scarlet flames torches everything around the user. It may leave targets with a burn.;15;80;0;Special;00A;bef;100;FIRE;30;08
FIREPUNCH;140;Fire Punch;The target is punched with a fiery fist. It may leave the target with a burn.;15;75;0;Physical;00A;abefj;100;FIRE;10;00
FLAMEBURST;141;Flame Burst;The user attacks the foe with a bursting flame. It also damages Pokemon next to the target.;15;70;0;Special;074;bef;100;FIRE;0;00
FIREFANG;142;Fire Fang;The user bites with flame-cloaked fangs. It may also make the target flinch or leave it burned.;15;65;0;Physical;00B;abei;95;FIRE;10;00
FLAMEWHEEL;143;Flame Wheel;The user cloaks itself in fire and charges at the target. It may also leave the target with a burn.;25;60;0;Physical;00A;abefg;100;FIRE;10;00
FIREPLEDGE;144;Fire Pledge;A column of fire hits opposing Pokemon. When used with its Grass equivalent, it makes a sea of fire.;10;50;0;Special;107;bef;100;FIRE;0;00
FLAMECHARGE;145;Flame Charge;The user cloaks itself with flame and attacks. Building up more power, it raises the user's Speed stat.;20;50;0;Physical;01F;abef;100;FIRE;100;00
EMBER;146;Ember;The target is attacked with small flames. It may also leave the target with a burn.;25;40;0;Special;00A;bef;100;FIRE;10;00
FIRESPIN;147;Fire Spin;The target becomes trapped within a fierce vortex of fire that rages for four to five turns.;15;35;0;Special;0CF;bef;85;FIRE;0;00
INCINERATE;148;Incinerate;The user attacks the foe with fire. If the target is holding a Berry, it becomes burnt up and unusable.;15;30;0;Special;0F5;bef;100;FIRE;0;04
HEATCRASH;149;Heat Crash;The user slams the foe with its flaming body. The heavier the user is, the greater the damage.;10;1;0;Physical;09B;abef;100;FIRE;0;00
SUNNYDAY;150;Sunny Day;The user intensifies the sun for five turns, powering up Fire-type moves.;5;0;0;Status;0FF;;0;FIRE;0;20
WILLOWISP;151;Will-O-Wisp;The user shoots a sinister, bluish-white flame at the target to inflict a burn.;15;0;0;Status;00A;bce;75;FIRE;0;00
SKYATTACK;152;Sky Attack;A second-turn attack move where critical hits land more easily. It may also make the target flinch.;5;140;0;Physical;0C7;beh;90;FLYING;30;00
BRAVEBIRD;153;Brave Bird;The user tucks in its wings and charges from a low altitude. The user also takes serious damage.;15;120;0;Physical;0FB;abef;100;FLYING;0;00
HURRICANE;154;Hurricane;The user wraps its foe in a fierce wind that flies up into the sky. It may also confuse the foe.;10;120;0;Special;015;bef;70;FLYING;30;00
AEROBLAST;155;Aeroblast;A vortex of air is shot at the target to inflict damage. Critical hits land more easily.;5;100;0;Special;000;befh;95;FLYING;0;00
FLY;156;Fly;The user soars, then strikes on the second turn. It can also be used for flying to any familiar town.;15;90;0;Physical;0C9;abef;95;FLYING;0;00
BOUNCE;157;Bounce;The user bounces up high, then drops on the foe on the second turn. It may also paralyze the foe.;5;85;0;Physical;0CC;abef;85;FLYING;30;00
DRILLPECK;158;Drill Peck;A corkscrewing attack with the sharp beak acting as a drill.;20;80;0;Physical;000;abef;100;FLYING;0;00
AIRSLASH;159;Air Slash;The user attacks with a blade of air that slices even the sky. It may also make the target flinch.;20;75;0;Special;00F;be;95;FLYING;30;00
AERIALACE;160;Aerial Ace;The user confounds the foe with speed, then slashes. The attack lands without fail.;20;60;0;Physical;0A5;abef;0;FLYING;0;00
CHATTER;161;Chatter;The user attacks using a sound wave based on words it has learned. It may also confuse the target.;20;60;0;Special;014;bfk;100;FLYING;0;00
PLUCK;162;Pluck;The user pecks the target. If the target is holding a Berry, the user eats it and gains its effect.;20;60;0;Physical;0F4;abef;100;FLYING;0;00
SKYDROP;163;Sky Drop;The user takes the foe into the sky, then drops it on the next turn. The foe cannot attack while airborne.;10;60;0;Physical;0CE;abef;100;FLYING;0;00
WINGATTACK;164;Wing Attack;The target is struck with large, imposing wings spread wide to inflict damage.;35;60;0;Physical;000;abef;100;FLYING;0;00
ACROBATICS;165;Acrobatics;The user nimbly strikes the foe. This attack does more damage if the user is not holding an item.;15;55;0;Physical;086;abef;100;FLYING;0;00
AIRCUTTER;166;Air Cutter;The user launches razor-like wind to slash the opposing team. Critical hits land more easily.;25;55;0;Special;000;befh;95;FLYING;0;04
GUST;167;Gust;A gust of wind is whipped up by wings and launched at the target to inflict damage.;35;40;0;Special;077;bef;100;FLYING;0;00
PECK;168;Peck;The target is jabbed with a sharply pointed beak or horn.;35;35;0;Physical;000;abef;100;FLYING;0;00
DEFOG;169;Defog;A strong wind blows away the foe's obstacles such as Light Screen. It also lowers their evasion.;15;0;0;Status;049;bce;0;FLYING;0;00
FEATHERDANCE;170;Feather Dance;The user covers the target's body with a mass of down that harshly lowers its Attack stat.;15;0;0;Status;04B;bce;100;FLYING;0;00
MIRRORMOVE;171;Mirror Move;The user counters the target by mimicking the target's last move.;20;0;0;Status;0AE;;0;FLYING;0;00
ROOST;172;Roost;The user lands and rests its body. It restores the user's HP by up to half of its max HP.;10;0;0;Status;0D6;d;0;FLYING;0;10
TAILWIND;173;Tailwind;The user whips up a turbulent whirlwind that ups the Speed of all party Pokemon for four turns.;30;0;0;Status;05B;d;0;FLYING;0;40
SHADOWFORCE;174;Shadow Force;The user disappears, then strikes the foe on the second turn. It hits even if the foe protects itself.;5;120;0;Physical;0CD;aef;100;GHOST;0;00
SHADOWBALL;175;Shadow Ball;The user hurls a shadowy blob at the target. It may also lower the target's Sp. Def stat.;15;80;0;Special;046;befn;100;GHOST;20;00
SHADOWCLAW;176;Shadow Claw;The user slashes with a sharp claw made from shadows. Critical hits land more easily.;15;70;0;Physical;000;abefh;100;GHOST;0;00
OMINOUSWIND;177;Ominous Wind;The user blasts the target with a gust of repulsive wind. It may also raise all the user's stats at once.;5;60;0;Special;02D;bef;100;GHOST;10;00
SHADOWPUNCH;178;Shadow Punch;The user throws a punch from the shadows. The punch lands without fail.;20;60;0;Physical;0A5;abefj;0;GHOST;0;00
HEX;179;Hex;This relentless attack does massive damage to a target affected by status problems.;10;50;0;Special;07F;bef;100;GHOST;0;00
SHADOWSNEAK;180;Shadow Sneak;The user extends its shadow and attacks the target from behind. This move always goes first.;30;40;1;Physical;000;abef;100;GHOST;0;00
ASTONISH;181;Astonish;The user attacks the target while shouting in a startling fashion. It may also make the target flinch.;15;30;0;Physical;00F;abe;100;GHOST;30;00
LICK;182;Lick;The target is licked with a long tongue, causing damage. It may also leave the target with paralysis.;30;20;0;Physical;007;abef;100;GHOST;30;00
NIGHTSHADE;183;Night Shade;The user makes the foe see a frightening mirage. It inflicts damage matching the user's level.;15;1;0;Special;06D;bef;100;GHOST;0;00
CONFUSERAY;184;Confuse Ray;The target is exposed to a sinister ray that triggers confusion.;10;0;0;Status;013;bce;100;GHOST;0;00
CURSE;185;Curse;A move that works differently for the Ghost type than for all the other types.;10;0;0;Status;10D;;0;GHOST;0;01
DESTINYBOND;186;Destiny Bond;When this move is used, if the user faints, the foe that landed the knockout hit also faints.;5;0;0;Status;0E7;;0;GHOST;0;10
GRUDGE;187;Grudge;If the user faints, the user's grudge fully depletes the PP of the foe's move that knocked it out.;5;0;0;Status;0E6;;0;GHOST;0;10
