InternalName;FormName;BattlerEnemyY;EggMoves;id;Name;GrowthRate;Rareness;HiddenAbility;EffortPoints;RegionalNumbers;WildItemUncommon;Compatibility;Kind;BattlerAltitude;StepsToHatch;BattlerPlayerY;Incense;GenderRate;Evolutions;Pokedex;BaseEXP;WildItemCommon;Abilities;Habitat;Weight;Color;BaseStats;Height;Shape;Moves;Type1;WildItemRare;Happiness;Type2
METAPOD;;25;;11;Metapod;Medium;120;;0,0,2,0,0,0;11,25;;Bug;Cocoon;0;4080;0;;0.5;BUTTERFREE,Level,10;Its shell is as hard as an iron slab. A Metapod does not move very much because it is preparing its soft innards for evolution inside the shell.;72;;SHEDSKIN;Forest;9.9;Green;50,20,55,30,25,25;0.7;2;1,HARDEN,7,HARDEN;BUG;;70;
BUTTERFREE;;18;;12;Butterfree;Medium;45;TINTEDLENS;0,0,0,0,2,1;12,26;SILVERPOWDER;Bug;Butterfly;15;4080;0;;0.5;;It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away.;173;;COMPOUNDEYES;Forest;32.0;White;60,45,50,70,80,80;1.1;13;1,CONFUSION,10,CONFUSION,12,POISONPOWDER,12,STUNSPORE,12,SLEEPPOWDER,16,GUST,18,SUPERSONIC,22,WHIRLWIND,24,PSYBEAM,28,SILVERWIND,30,TAILWIND,34,RAGEPOWDER,36,SAFEGUARD,40,CAPTIVATE,42,BUGBUZZ,46,QUIVERDANCE;BUG;;70;FLYING
WEEDLE;;27;;13;Weedle;Medium;255;RUNAWAY;0,0,0,1,0,0;13,27;;Bug;Hairy Bug;0;4080;0;;0.5;KAKUNA,Level,7;A Weedle has an extremely acute sense of smell. It distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose).;39;;SHIELDDUST;Forest;3.2;Brown;40,35,30,50,20,20;0.3;14;1,POISONSTING,1,STRINGSHOT,15,BUGBITE;BUG;;70;POISON
KAKUNA;;23;;14;Kakuna;Medium;120;;0,0,2,0,0,0;14,28;;Bug;Cocoon;0;4080;0;;0.5;BEEDRILL,Level,10;It remains virtually immobile while it clings to a tree. However, on the inside, it busily prepares for evolution. This is evident from how hot its shell becomes.;72;;SHEDSKIN;Forest;10.0;Yellow;45,25,50,35,25,25;0.6;2;1,HARDEN,7,HARDEN;BUG;;70;POISON
BEEDRILL;;17;;15;Beedrill;Medium;45;SNIPER;0,2,0,0,0,1;15,29;POISONBARB;Bug;Poison Bee;11;4080;0;;0.5;;A Beedrill is extremely territorial. For safety reasons, no one should ever approach its nest. If angered, they will attack in a swarm.;173;;SWARM;Forest;29.5;Yellow;65,80,40,75,45,80;1.0;13;1,FURYATTACK,10,FURYATTACK,13,FOCUSENERGY,16,TWINEEDLE,19,RAGE,22,PURSUIT,25,TOXICSPIKES,28,PINMISSILE,31,AGILITY,34,ASSURANCE,37,POISONJAB,40,ENDEAVOR;BUG;;70;POISON
PIDGEY;;23;AIRCUTTER,AIRSLASH,BRAVEBIRD,DEFOG,FEINTATTACK,FORESIGHT,PURSUIT,STEELWING,UPROAR;16;Pidgey;Parabolic;255;BIGPECKS;0,0,0,1,0,0;16,10;;Flying;Tiny Bird;0;4080;0;;0.5;PIDGEOTTO,Level,18;It has an extremely sharp sense of direction. It can unerringly return home to its nest, however far it may be removed from its familiar surroundings.;50;;KEENEYE,TANGLEDFEET;Forest;1.8;Brown;40,45,40,56,35,35;0.3;9;1,TACKLE,5,SANDATTACK,9,GUST,13,QUICKATTACK,17,WHIRLWIND,21,TWISTER,25,FEATHERDANCE,29,AGILITY,33,WINGATTACK,37,ROOST,41,TAILWIND,45,MIRRORMOVE,49,AIRSLASH,53,HURRICANE;NORMAL;;70;FLYING
PIDGEOTTO;;17;;17;Pidgeotto;Parabolic;120;BIGPECKS;0,0,0,2,0,0;17,11;;Flying;Bird;0;4080;0;;0.5;PIDGEOT,Level,36;This Pokemon flies around, patrolling its large territory. If its living space is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.;122;;KEENEYE,TANGLEDFEET;Forest;30.0;Brown;63,60,55,71,50,50;1.1;9;1,TACKLE,1,SANDATTACK,1,GUST,5,SANDATTACK,9,GUST,13,QUICKATTACK,17,WHIRLWIND,22,TWISTER,27,FEATHERDANCE,32,AGILITY,37,WINGATTACK,42,ROOST,47,TAILWIND,52,MIRRORMOVE,57,AIRSLASH,62,HURRICANE;NORMAL;;70;FLYING
PIDGEOT;;8;;18;Pidgeot;Parabolic;45;BIGPECKS;0,0,0,3,0,0;18,12;;Flying;Bird;10;4080;0;;0.5;;This Pokemon has gorgeous, glossy feathers. Many trainers are so captivated by the beautiful feathers on its head that they choose Pidgeot as their Pokemon.;211;;KEENEYE,TANGLEDFEET;Forest;39.5;Brown;83,80,75,91,70,70;1.5;9;1,TACKLE,1,SANDATTACK,1,GUST,1,QUICKATTACK,5,SANDATTACK,9,GUST,13,QUICKATTACK,17,WHIRLWIND,22,TWISTER,27,FEATHERDANCE,32,AGILITY,38,WINGATTACK,44,ROOST,50,TAILWIND,56,MIRRORMOVE,62,AIRSLASH,68,HURRICANE;NORMAL;;70;FLYING
RATTATA;;24;BITE,COUNTER,FINALGAMBIT,FLAMEWHEEL,FURYSWIPES,LASTRESORT,MEFIRST,REVENGE,REVERSAL,SCREECH,UPROAR;19;Rattata;Medium;255;HUSTLE;0,0,0,1,0,0;19,17;CHILANBERRY;Field;Mouse;0;4080;0;;0.5;RATICATE,Level,20;A Rattata is cautious in the extreme. Even while it is asleep, it constantly moves its ears and listens for danger. It will make its nest anywhere.;51;;RUNAWAY,GUTS;Grassland;3.5;Purple;30,56,35,72,25,35;0.3;8;1,TACKLE,1,TAILWHIP,4,QUICKATTACK,7,FOCUSENERGY,10,BITE,13,PURSUIT,16,HYPERFANG,19,SUCKERPUNCH,22,CRUNCH,25,ASSURANCE,28,SUPERFANG,31,DOUBLEEDGE,34,ENDEAVOR;NORMAL;;70;
RATICATE;;17;;20;Raticate;Medium;127;HUSTLE;0,0,0,2,0,0;20,18;CHILANBERRY;Field;Mouse;0;4080;0;;0.5;;A Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.;145;;RUNAWAY,GUTS;Grassland;18.5;Brown;55,81,60,97,50,70;0.7;8;1,SWORDSDANCE,1,TACKLE,1,TAILWHIP,1,QUICKATTACK,1,FOCUSENERGY,4,QUICKATTACK,7,FOCUSENERGY,10,BITE,13,PURSUIT,16,HYPERFANG,19,SUCKERPUNCH,20,SCARYFACE,24,CRUNCH,29,ASSURANCE,34,SUPERFANG,39,DOUBLEEDGE,44,ENDEAVOR;NORMAL;;70;
SPEAROW;;24;ASTONISH,FEINTATTACK,FEATHERDANCE,QUICKATTACK,RAZORWIND,SCARYFACE,SKYATTACK,STEELWING,TRIATTACK,UPROAR,WHIRLWIND;21;Spearow;Medium;255;SNIPER;0,0,0,1,0,0;21,13;;Flying;Tiny Bird;0;4080;0;;0.5;FEAROW,Level,20;Its loud cry can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.;52;;KEENEYE;RoughTerrain;2.0;Brown;40,60,30,70,31,31;0.3;9;1,PECK,1,GROWL,5,LEER,9,FURYATTACK,13,PURSUIT,17,AERIALACE,21,MIRRORMOVE,25,AGILITY,29,ASSURANCE,33,ROOST,37,DRILLPECK;NORMAL;;70;FLYING
FEAROW;;6;;22;Fearow;Medium;90;SNIPER;0,0,0,2,0,0;22,14;SHARPBEAK;Flying;Beak;9;4080;0;;0.5;;Its long neck and elongated beak are ideal for catching prey in soil or water. It deftly moves this extended and skinny beak to pluck prey.;155;;KEENEYE;RoughTerrain;38.0;Brown;65,90,65,100,61,61;1.2;9;1,PLUCK,1,PECK,1,GROWL,1,LEER,1,FURYATTACK,5,LEER,9,FURYATTACK,13,PURSUIT,17,AERIALACE,23,MIRRORMOVE,29,AGILITY,35,ASSURANCE,41,ROOST,47,DRILLPECK,53,DRILLRUN;NORMAL;;70;FLYING
EKANS;;24;BEATUP,DISABLE,IRONTAIL,POISONFANG,POISONTAIL,PURSUIT,SCARYFACE,SLAM,SNATCH,SPITE,SUCKERPUNCH,SWITCHEROO;23;Ekans;Medium;255;UNNERVE;0,1,0,0,0,0;23,50;;Field,Dragon;Snake;0;5355;0;;0.5;ARBOK,Level,22;An Ekans curls itself up in a spiral while it rests. This position allows it to quickly respond to an enemy from any direction with a threat from its upraised head.;58;;INTIMIDATE,SHEDSKIN;Grassland;6.9;Purple;35,60,44,55,40,54;2.0;2;1,WRAP,1,LEER,4,POISONSTING,9,BITE,12,GLARE,17,SCREECH,20,ACID,25,STOCKPILE,25,SWALLOW,25,SPITUP,28,ACIDSPRAY,33,MUDBOMB,36,GASTROACID,41,HAZE,44,COIL,49,GUNKSHOT;POISON;;70;
ARBOK;;12;;24;Arbok;Medium;90;UNNERVE;0,2,0,0,0,0;24,51;;Field,Dragon;Cobra;0;5355;0;;0.5;;This Pokemon has a terrifically strong constricting power. It can even flatten steel oil drums. Once it wraps its body around its foe, escaping is impossible.;153;;INTIMIDATE,SHEDSKIN;Grassland;65.0;Purple;60,85,69,80,65,79;3.5;2;1,ICEFANG,1,THUNDERFANG,1,FIREFANG,1,WRAP,1,LEER,1,POISONSTING,1,BITE,4,POISONSTING,9,BITE,12,GLARE,17,SCREECH,20,ACID,22,CRUNCH,27,STOCKPILE,27,SWALLOW,27,SPITUP,32,ACIDSPRAY,39,MUDBOMB,44,GASTROACID,51,HAZE,56,COIL,63,GUNKSHOT;POISON;;70;
PIKACHU;;16;;25;Pikachu;Medium;190;LIGHTNINGROD;0,0,0,2,0,0;25,22;;Field,Fairy;Mouse;0;2805;0;;0.5;RAICHU,Item,THUNDERSTONE;It stores electricity in the electric sacs on its cheeks. When it releases pent-up energy in a burst, the electric power is equal to a lightning bolt.;105;ORANBERRY;STATIC;Forest;6.0;Yellow;35,55,30,90,50,40;0.4;8;1,GROWL,1,THUNDERSHOCK,5,TAILWHIP,10,THUNDERWAVE,13,QUICKATTACK,18,ELECTROBALL,21,DOUBLETEAM,26,SLAM,29,THUNDERBOLT,34,FEINT,37,AGILITY,42,DISCHARGE,45,LIGHTSCREEN,50,THUNDER;ELECTRIC;LIGHTBALL;70;
RAICHU;;12;;26;Raichu;Medium;75;LIGHTNINGROD;0,0,0,3,0,0;26,23;;Field,Fairy;Mouse;0;2805;0;;0.5;;If it stores too much electricity, its behavior turns aggressive. To avoid this, it occasionally discharges excess energy and calms itself down.;214;ORANBERRY;STATIC;Forest;30.0;Yellow;60,90,55,100,90,80;0.8;6;1,THUNDERSHOCK,1,TAILWHIP,1,QUICKATTACK,1,THUNDERBOLT;ELECTRIC;;70;
SANDSHREW;;23;CHIPAWAY,COUNTER,CRUSHCLAW,ENDURE,FLAIL,METALCLAW,MUDSHOT,NIGHTSLASH,RAPIDSPIN,ROCKCLIMB;27;Sandshrew;Medium;255;SANDRUSH;0,0,1,0,0,0;27,48;QUICKCLAW;Field;Mouse;0;5355;0;;0.5;SANDSLASH,Level,22;When it curls up in a ball, it can make any attack bounce off harmlessly. Its hide has turned tough and solid as a result of living in the desert.;60;;SANDVEIL;RoughTerrain;12.0;Yellow;50,75,85,40,20,30;0.6;6;1,SCRATCH,1,DEFENSECURL,3,SANDATTACK,5,POISONSTING,7,ROLLOUT,9,RAPIDSPIN,11,SWIFT,14,FURYCUTTER,17,MAGNITUDE,20,FURYSWIPES,23,SANDTOMB,26,SLASH,30,DIG,34,GYROBALL,38,SWORDSDANCE,42,SANDSTORM,46,EARTHQUAKE;GROUND;;70;
SANDSLASH;;20;;28;Sandslash;Medium;90;SANDRUSH;0,0,2,0,0,0;28,49;QUICKCLAW;Field;Mouse;0;5355;0;;0.5;;It curls up in a ball to protect itself from enemy attacks. It also curls up to prevent heatstroke during the daytime when temperatures rise sharply.;158;;SANDVEIL;RoughTerrain;29.5;Yellow;75,100,110,65,45,55;1.0;6;1,SCRATCH,1,DEFENSECURL,1,SANDATTACK,1,POISONSTING,3,SANDATTACK,5,POISONSTING,7,ROLLOUT,9,RAPIDSPIN,11,SWIFT,14,FURYCUTTER,17,MAGNITUDE,20,FURYSWIPES,22,CRUSHCLAW,26,SLASH,30,DIG,33,SANDTOMB,34,GYROBALL,38,SWORDSDANCE,42,SANDSTORM,46,EARTHQUAKE;GROUND;;70;
NIDORANfE;;25;BEATUP,CHARM,CHIPAWAY,COUNTER,DISABLE,ENDURE,FOCUSENERGY,IRONTAIL,POISONTAIL,PURSUIT,SKULLBASH,SUPERSONIC,TAKEDOWN;29;Nidoran;Parabolic;235;HUSTLE;1,0,0,0,0,0;29,95;;Monster,Field;Poison Pin;0;5355;0;;1;NIDORINA,Level,16;Its highly toxic barbs are thought to have developed as protection for this small-bodied Pokemon. When enraged, it releases a horrible toxin from its horn.;55;;POISONPOINT,RIVALRY;Grassland;7.0;Blue;55,47,52,41,40,40;0.4;8;1,GROWL,1,SCRATCH,7,TAILWHIP,9,DOUBLEKICK,13,POISONSTING,19,FURYSWIPES,21,BITE,25,HELPINGHAND,31,TOXICSPIKES,33,FLATTER,37,CRUNCH,43,CAPTIVATE,45,POISONFANG;POISON;;70;
NIDORINA;;19;;30;Nidorina;Parabolic;120;HUSTLE;2,0,0,0,0,0;30,96;;Monster,Field;Poison Pin;0;5355;0;;1;NIDOQUEEN,Item,MOONSTONE;When it is with its friends or family, its barbs are tucked away to prevent injury. It appears to become nervous if separated from the others.;128;;POISONPOINT,RIVALRY;Grassland;20.0;Blue;70,62,67,56,55,55;0.8;8;1,GROWL,1,SCRATCH,7,TAILWHIP,9,DOUBLEKICK,13,POISONSTING,20,FURYSWIPES,23,BITE,28,HELPINGHAND,35,TOXICSPIKES,38,FLATTER,43,CRUNCH,50,CAPTIVATE,58,POISONFANG;POISON;;70;
NIDOQUEEN;;10;;31;Nidoqueen;Parabolic;45;SHEERFORCE;3,0,0,0,0,0;31,97;;Monster,Field;Drill;0;5355;0;;1;;It is adept at sending foes flying with harsh tackles using its tough, scaly body. This Pokemon is at its strongest when it is defending its young.;223;;POISONPOINT,RIVALRY;Grassland;60.0;Blue;90,82,87,76,75,85;1.3;6;1,SCRATCH,1,TAILWHIP,1,DOUBLEKICK,1,POISONSTING,23,CHIPAWAY,35,BODYSLAM,43,EARTHPOWER,58,SUPERPOWER;POISON;;70;GROUND
NIDORANmA;;23;AMNESIA,BEATUP,CHIPAWAY,CONFUSION,COUNTER,DISABLE,ENDURE,HEADSMASH,IRONTAIL,POISONTAIL,SUCKERPUNCH,SUPERSONIC,TAKEDOWN;32;Nidoran;Parabolic;235;HUSTLE;0,1,0,0,0,0;32,98;;Monster,Field;Poison Pin;0;5355;0;;0;NIDORINO,Level,16;The male Nidoran has developed muscles that freely move its ears in any direction. Even the slightest sound does not escape this Pokemon's notice.;55;;POISONPOINT,RIVALRY;Grassland;9.0;Purple;46,57,40,50,40,40;0.5;8;1,LEER,1,PECK,7,FOCUSENERGY,9,DOUBLEKICK,13,POISONSTING,19,FURYATTACK,21,HORNATTACK,25,HELPINGHAND,31,TOXICSPIKES,33,FLATTER,37,POISONJAB,43,CAPTIVATE,45,HORNDRILL;POISON;;70;
NIDORINO;;22;;33;Nidorino;Parabolic;120;HUSTLE;0,2,0,0,0,0;33,99;;Monster,Field;Poison Pin;0;5355;0;;0;NIDOKING,Item,MOONSTONE;Its horn is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.;128;;POISONPOINT,RIVALRY;Grassland;19.5;Purple;61,72,57,65,55,55;0.9;8;1,LEER,1,PECK,7,FOCUSENERGY,9,DOUBLEKICK,13,POISONSTING,20,FURYATTACK,23,HORNATTACK,28,HELPINGHAND,35,TOXICSPIKES,38,FLATTER,43,POISONJAB,50,CAPTIVATE,58,HORNDRILL;POISON;;70;
NIDOKING;;12;;34;Nidoking;Parabolic;45;SHEERFORCE;0,3,0,0,0,0;34,100;;Monster,Field;Drill;0;5355;0;;0;;A Nidoking's thick tail packs enormously destructive power capable of toppling a metal transmission tower. Once it goes on a rampage, there is no stopping it.;223;;POISONPOINT,RIVALRY;Grassland;62.0;Purple;81,92,77,85,85,75;1.4;6;1,PECK,1,FOCUSENERGY,1,DOUBLEKICK,1,POISONSTING,23,CHIPAWAY,35,THRASH,43,EARTHPOWER,58,MEGAHORN;POISON;;70;GROUND
CLEFAIRY;;24;;35;Clefairy;Fast;150;FRIENDGUARD;2,0,0,0,0,0;35,41;MOONSTONE;Fairy;Fairy;0;2805;0;;0.75;CLEFABLE,Item,MOONSTONE;On every night of a full moon, they come out to play. When dawn arrives, the tired Clefairy go to sleep nestled up against each other in deep and quiet mountains.;113;LEPPABERRY;CUTECHARM,MAGICGUARD;Mountain;7.5;Pink;70,45,48,35,60,65;0.6;6;1,POUND,1,GROWL,4,ENCORE,7,SING,10,DOUBLESLAP,13,DEFENSECURL,16,FOLLOWME,19,BESTOW,22,WAKEUPSLAP,25,MINIMIZE,28,STOREDPOWER,31,METRONOME,34,COSMICPOWER,37,LUCKYCHANT,40,BODYSLAM,43,MOONLIGHT,46,LIGHTSCREEN,49,GRAVITY,52,METEORMASH,55,HEALINGWISH,58,AFTERYOU;NORMAL;COMETSHARD;140;
CLEFABLE;;19;;36;Clefable;Fast;25;UNAWARE;3,0,0,0,0,0;36,42;MOONSTONE;Fairy;Fairy;0;2805;0;;0.75;;A Clefable uses its wings to skip lightly as if it were flying. Its bouncy step lets it even walk on water. On quiet, moonlit nights, it strolls on lakes.;213;LEPPABERRY;CUTECHARM,MAGICGUARD;Mountain;40.0;Pink;95,70,73,60,85,90;1.3;6;1,SING,1,DOUBLESLAP,1,MINIMIZE,1,METRONOME;NORMAL;COMETSHARD;140;
VULPIX;;21;DISABLE,EXTRASENSORY,FEINTATTACK,FLAIL,FLAREBLITZ,HEATWAVE,HEX,HOWL,HYPNOSIS,POWERSWAP,SECRETPOWER,SPITE,TAILSLAP;37;Vulpix;Medium;190;DROUGHT;0,0,0,1,0,0;37,127;RAWSTBERRY;Field;Fox;0;5355;0;;0.75;NINETALES,Item,FIRESTONE;It can freely control fire, making fiery orbs fly like will-o'-the-wisps. Just before evolution, its six tails grow hot as if on fire.;60;RAWSTBERRY;FLASHFIRE;Grassland;9.9;Brown;38,41,40,65,50,65;0.6;8;1,EMBER,4,TAILWHIP,7,ROAR,10,QUICKATTACK,12,FIRESPIN,15,CONFUSERAY,18,IMPRISON,20,FEINTATTACK,23,FLAMEBURST,26,WILLOWISP,28,HEX,31,PAYBACK,34,FLAMETHROWER,36,SAFEGUARD,39,EXTRASENSORY,42,FIREBLAST,44,GRUDGE,47,CAPTIVATE,50,INFERNO;FIRE;RAWSTBERRY;70;
NINETALES;;14;;38;Ninetales;Medium;75;DROUGHT;0,0,0,1,0,1;38,128;RAWSTBERRY;Field;Fox;0;5355;0;;0.75;;It has long been said that each of the nine tails embody an enchanted power. A long-lived Ninetales will have fur that shines like gold.;177;RAWSTBERRY;FLASHFIRE;Grassland;19.9;Yellow;73,76,75,100,81,100;1.1;8;1,NASTYPLOT,1,EMBER,1,QUICKATTACK,1,CONFUSERAY,1,SAFEGUARD;FIRE;RAWSTBERRY;70;
JIGGLYPUFF;;26;;39;Jigglypuff;Fast;170;FRIENDGUARD;2,0,0,0,0,0;39,44;;Fairy;Balloon;0;2805;0;;0.75;WIGGLYTUFF,Item,MOONSTONE;Nothing can avoid falling asleep hearing a Jigglypuff's song. The sound waves of its singing voice match the brain waves of someone in a deep sleep.;95;;CUTECHARM;Grassland;5.5;Pink;115,45,20,20,45,25;0.5;12;1,SING,5,DEFENSECURL,9,POUND,13,DISABLE,17,ROUND,21,ROLLOUT,25,DOUBLESLAP,29,REST,33,BODYSLAM,37,GYROBALL,41,WAKEUPSLAP,45,MIMIC,49,HYPERVOICE,53,DOUBLEEDGE;NORMAL;;70;
