InternalName;ID;InternalName;Name;Category;Price;Description;Uknown1;Uknown2;Uknown3;Move
STARPIECE;45;Star Piece;Star Pieces;1;9800;A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.;0;0;0;
COMETSHARD;46;Comet Shard;Comet Shards;1;120000;A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.;0;0;0;
NUGGET;47;Nugget;Nuggets;1;10000;A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.;0;0;0;
BIGNUGGET;48;Big Nugget;Big Nuggets;1;60000;A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.;0;0;0;
HEARTSCALE;49;Heart Scale;Heart Scales;1;100;A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.;0;0;0;
SLOWPOKETAIL;50;Slowpoke Tail;Slowpoke Tails;1;9800;A very tasty tail of something. It sells for a high price.;0;0;0;
RAREBONE;51;Rare Bone;Rare Bones;1;10000;A bone that is extremely valuable for Pokémon archaeology. It can be sold for a high price to shops.;0;0;0;
RELICCOPPER;52;Relic Copper;Relic Coppers;1;2000;A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.;0;0;0;
RELICSILVER;53;Relic Silver;Relic Silvers;1;10000;A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.;0;0;0;
RELICGOLD;54;Relic Gold;Relic Golds;1;20000;A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.;0;0;0;
RELICVASE;55;Relic Vase;Relic Vases;1;100000;A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price.;0;0;0;
RELICBAND;56;Relic Band;Relic Bands;1;200000;A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price.;0;0;0;
RELICSTATUE;57;Relic Statue;Relic Statues;1;400000;A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price.;0;0;0;
RELICCROWN;58;Relic Crown;Relic Crowns;1;600000;A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price.;0;0;0;
GROWTHMULCH;59;Growth Mulch;Growth Mulch;1;200;A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.;0;0;11;
DAMPMULCH;60;Damp Mulch;Damp Mulch;1;200;A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.;0;0;11;
STABLEMULCH;61;Stable Mulch;Stable Mulch;1;200;A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.;0;0;11;
GOOEYMULCH;62;Gooey Mulch;Gooey Mulch;1;200;A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.;0;0;11;
SHOALSALT;63;Shoal Salt;Shoal Salts;1;20;Pure salt that can be discovered deep inside the Shoal Cave. A maniac will buy it for a high price.;0;0;0;
SHOALSHELL;64;Shoal Shell;Shoal Shells;1;20;A pretty seashell that can be found deep inside the Shoal Cave. A maniac will buy it for a high price.;0;0;0;
ODDKEYSTONE;65;Odd Keystone;Odd Keystones;1;2100;A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.;0;0;0;
AIRBALLOON;66;Air Balloon;Air Balloons;1;200;An item to be held by a Pokémon. The holder will float in the air until hit. Once hit, this item will burst.;0;0;0;
BRIGHTPOWDER;67;Bright Powder;Bright Powders;1;10;An item to be held by a Pokémon. It casts a tricky glare that lowers the opponent's accuracy.;0;0;0;
EVIOLITE;68;Eviolite;Eviolites;1;200;A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def if the holder can still evolve.;0;0;0;
FLOATSTONE;69;Float Stone;Float Stones;1;200;A very light stone. It reduces the weight of a Pokémon when held.;0;0;0;
DESTINYKNOT;70;Destiny Knot;Destiny Knots;1;200;A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, so does the foe.;0;0;0;
ROCKYHELMET;71;Rocky Helmet;Rocky Helmets;1;200;If the holder of this item takes damage, the attacker will also be damaged upon contact.;0;0;0;
EJECTBUTTON;72;Eject Button;Eject Buttons;1;200;If the holder is hit by an attack, it will switch with another Pokémon in your party.;0;0;0;
REDCARD;73;Red Card;Red Cards;1;200;A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle.;0;0;0;
SHEDSHELL;74;Shed Shell;Shed Shells;1;100;An item to be held by a Pokémon. This discarded carapace lets the holder switch out of battle without fail.;0;0;0;
SMOKEBALL;75;Smoke Ball;Smoke Balls;1;200;An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail.;0;0;0;
LUCKYEGG;76;Lucky Egg;Lucky Eggs;1;200;An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.;0;0;0;
EXPSHARE;77;Exp. Share;Exp. Shares;1;3000;An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.;0;0;0;
AMULETCOIN;78;Amulet Coin;Amulet Coins;1;100;An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.;0;0;0;
SOOTHEBELL;79;Soothe Bell;Soothe Bells;1;100;An item to be held by a Pokémon. The comforting chime of this bell calms the holder, making it friendly.;0;0;0;
CLEANSETAG;80;Cleanse Tag;Cleanse Tags;1;200;An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.;0;0;0;
CHOICEBAND;81;Choice Band;Choice Bands;1;100;An item to be held by a Pokémon. This headband ups Attack, but allows the use of only one move.;0;0;0;
CHOICESPECS;82;Choice Specs;Choice Specs;1;200;An item to be held by a Pokémon. These curious glasses boost Sp. Atk but allows the use of only one move.;0;0;0;
CHOICESCARF;83;Choice Scarf;Choice Scarves;1;200;An item to be held by a Pokémon. This scarf boosts Speed but allows the use of only one move.;0;0;0;
HEATROCK;84;Heat Rock;Heat Rocks;1;200;A Pokémon held item that extends the duration of the move Sunny Day used by the holder.;0;0;0;
DAMPROCK;85;Damp Rock;Damp Rocks;1;200;A Pokémon held item that extends the duration of the move Rain Dance used by the holder.;0;0;0;
SMOOTHROCK;86;Smooth Rock;Smooth Rocks;1;200;A Pokémon held item that extends the duration of the move Sandstorm used by the holder.;0;0;0;
ICYROCK;87;Icy Rock;Icy Rocks;1;200;A Pokémon held item that extends the duration of the move Hail used by the holder.;0;0;0;
LIGHTCLAY;88;Light Clay;Light Clays;1;200;An item to be held by a Pokémon. Protective moves like Light Screen and Reflect will be effective longer.;0;0;0;
GRIPCLAW;89;Grip Claw;Grip Claws;1;200;A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.;0;0;0;
BINDINGBAND;90;Binding Band;Binding Bands;1;200;A band that increases the power of binding moves when held.;0;0;0;
BIGROOT;91;Big Root;Big Roots;1;200;A Pokémon held item that boosts the power of HP-stealing moves to let the holder recover more HP.;0;0;0;
BLACKSLUDGE;92;Black Sludge;Black Sludges;1;200;A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.;0;0;0;
LEFTOVERS;93;Leftovers;Leftovers;1;200;An item to be held by a Pokémon. The holder's HP is gradually restored during battle.;0;0;0;
SHELLBELL;94;Shell Bell;Shell Bells;1;200;An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.;0;0;0;
MENTALHERB;95;Mental Herb;Mental Herbs;1;100;An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.;0;0;0;
WHITEHERB;96;White Herb;White Herbs;1;100;An item to be held by a Pokémon. It restores any lowered stat in battle. It can be used only once.;0;0;0;
POWERHERB;97;Power Herb;Power Herbs;1;100;A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges up first.;0;0;0;
ABSORBBULB;98;Absorb Bulb;Absorb Bulbs;1;200;A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.;0;0;0;
CELLBATTERY;99;Cell Battery;Cell Batteries;1;200;A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise.;0;0;0;
LIFEORB;100;Life Orb;Life Orbs;1;200;An item to be held by a Pokémon. It boosts the power of moves, but at the cost of some HP on each hit.;0;0;0;
EXPERTBELT;101;Expert Belt;Expert Belts;1;200;An item to be held by a Pokémon. It is a well-worn belt that slightly boosts the power of supereffective moves.;0;0;0;
METRONOME;102;Metronome;Metronomes;1;200;A Pokémon held item that boosts a move used consecutively. Its effect is reset if another move is used.;0;0;0;
MUSCLEBAND;103;Muscle Band;Muscle Bands;1;200;An item to be held by a Pokémon. It is a headband that slightly boosts the power of physical moves.;0;0;0;
WISEGLASSES;104;Wise Glasses;Wise Glasses;1;200;An item to be held by a Pokémon. It is a thick pair of glasses that slightly boosts the power of special moves.;0;0;0;
RAZORCLAW;105;Razor Claw;Razor Claws;1;2100;An item to be held by a Pokémon. It is a sharply hooked claw that ups the holder's critical-hit ratio.;0;0;0;
SCOPELENS;106;Scope Lens;Scope Lenses;1;200;An item to be held by a Pokémon. It is a lens that boosts the holder's critical-hit ratio.;0;0;0;
WIDELENS;107;Wide Lens;Wide Lenses;1;200;An item to be held by a Pokémon. It is a magnifying lens that slightly boosts the accuracy of moves.;0;0;0;
ZOOMLENS;108;Zoom Lens;Zoom Lenses;1;200;An item to be held by a Pokémon. If the holder moves after its target, its accuracy will be boosted.;0;0;0;
KINGSROCK;109;King's Rock;King's Rocks;1;100;An item to be held by a Pokémon. When the holder inflicts damage, the target may flinch.;0;0;0;
RAZORFANG;110;Razor Fang;Razor Fangs;1;2100;An item to be held by a Pokémon. It may make foes and allies flinch when the holder inflicts damage.;0;0;0;
LAGGINGTAIL;111;Lagging Tail;Lagging Tails;1;200;An item to be held by a Pokémon. It is tremendously heavy and makes the holder move slower than usual.;0;0;0;
QUICKCLAW;112;Quick Claw;Quick Claws;1;100;An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally.;0;0;0;
FOCUSBAND;113;Focus Band;Focus Bands;1;200;An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP.;0;0;0;
FOCUSSASH;114;Focus Sash;Focus Sashes;1;200;An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.;0;0;0;
FLAMEORB;115;Flame Orb;Flame Orbs;1;100;An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.;0;0;0;
TOXICORB;116;Toxic Orb;Toxic Orbs;1;100;An item to be held by a Pokémon. It is a bizarre orb that badly poisons the holder in battle.;0;0;0;
STICKYBARB;117;Sticky Barb;Sticky Barbs;1;200;A held item that damages the holder on every turn. It may latch on to Pokémon that touch the holder.;0;0;0;
IRONBALL;118;Iron Ball;Iron Balls;1;200;A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.;0;0;0;
RINGTARGET;119;Ring Target;Ring Targets;1;200;Moves that would otherwise have no effect will land on the Pokémon that holds it.;0;0;0;
MACHOBRACE;120;Macho Brace;Macho Braces;1;3000;An item to be held by a Pokémon. It is a stiff, heavy brace that promotes strong growth but lowers Speed.;0;0;0;
POWERWEIGHT;121;Power Weight;Power Weights;1;3000;A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat.;0;0;0;
POWERBRACER;122;Power Bracer;Power Bracers;1;3000;A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat.;0;0;0;
POWERBELT;123;Power Belt;Power Belts;1;3000;A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat.;0;0;0;
POWERLENS;124;Power Lens;Power Lenses;1;3000;A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.;0;0;0;
POWERBAND;125;Power Band;Power Bands;1;3000;A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat.;0;0;0;
POWERANKLET;126;Power Anklet;Power Anklets;1;3000;A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat.;0;0;0;
LAXINCENSE;127;Lax Incense;Lax Incenses;1;9600;An item to be held by a Pokémon. The tricky aroma of this incense may make attacks miss the holder.;0;0;0;
FULLINCENSE;128;Full Incense;Full Incenses;1;9600;An item to be held by a Pokémon. This exotic-smelling incense makes the holder bloated and slow moving.;0;0;0;
LUCKINCENSE;129;Luck Incense;Luck Incenses;1;9600;An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.;0;0;0;
PUREINCENSE;130;Pure Incense;Pure Incenses;1;9600;An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.;0;0;0;
SEAINCENSE;131;Sea Incense;Sea Incenses;1;9600;An item to be held by a Pokémon. It has a curious aroma that boosts the power of Water-type moves.;0;0;0;
WAVEINCENSE;132;Wave Incense;Wave Incenses;1;9600;An item to be held by a Pokémon. It has a curious aroma that boosts the power of Water-type moves.;0;0;0;
ROSEINCENSE;133;Rose Incense;Rose Incenses;1;9600;An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Grass-type moves.;0;0;0;
ODDINCENSE;134;Odd Incense;Odd Incenses;1;9600;An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Psychic-type moves.;0;0;0;
ROCKINCENSE;135;Rock Incense;Rock Incenses;1;9600;An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Rock-type moves.;0;0;0;
CHARCOAL;136;Charcoal;Charcoals;1;9800;An item to be held by a Pokémon. It is a combustible fuel that boosts the power of Fire-type moves.;0;0;0;
MYSTICWATER;137;Mystic Water;Mystic Waters;1;100;An item to be held by a Pokémon. It is a teardrop-shaped gem that ups the power of Water-type moves.;0;0;0;
MAGNET;138;Magnet;Magnets;1;100;An item to be held by a Pokémon. It is a powerful magnet that boosts the power of Electric-type moves.;0;0;0;
MIRACLESEED;139;Miracle Seed;Miracle Seeds;1;100;An item to be held by a Pokémon. It is a seed imbued with life that ups the power of Grass-type moves.;0;0;0;
NEVERMELTICE;140;Never-Melt Ice;Never-Melt Ices;1;100;An item to be held by a Pokémon. It is a piece of ice that repels heat and boosts Ice-type moves.;0;0;0;
BLACKBELT;141;Black Belt;Black Belts;1;100;An item to be held by a Pokémon. It is a belt that boosts determination and Fighting-type moves.;0;0;0;
POISONBARB;142;Poison Barb;Poison Barbs;1;100;An item to be held by a Pokémon. It is a small, poisonous barb that ups the power of Poison-type moves.;0;0;0;
SOFTSAND;143;Soft Sand;Soft Sand;1;100;An item to be held by a Pokémon. It is a loose, silky sand that boosts the power of Ground-type moves.;0;0;0;
SHARPBEAK;144;Sharp Beak;Sharp Beaks;1;100;An item to be held by a Pokémon. It is a long, sharp beak that boosts the power of Flying-type moves.;0;0;0;
TWISTEDSPOON;145;Twisted Spoon;Twisted Spoons;1;100;An item to be held by a Pokémon. It is a spoon imbued with telekinetic power that boosts Psychic-type moves.;0;0;0;
SILVERPOWDER;146;Silver Powder;Silver Powders;1;100;An item to be held by a Pokémon. It is a shiny, silver powder that ups the power of Bug-type moves.;0;0;0;
HARDSTONE;147;Hard Stone;Hard Stones;1;100;An item to be held by a Pokémon. It is an unbreakable stone that ups the power of Rock-type moves.;0;0;0;
SPELLTAG;148;Spell Tag;Spell Tags;1;100;An item to be held by a Pokémon. It is a sinister, eerie tag that boosts the power of Ghost-type moves.;0;0;0;
DRAGONFANG;149;Dragon Fang;Dragon Fangs;1;100;An item to be held by a Pokémon. It is a hard and sharp fang that ups the power of Dragon-type moves.;0;0;0;
BLACKGLASSES;150;Black Glasses;Black Glasses;1;100;An item to be held by a Pokémon. It is a shady-looking pair of glasses that boosts Dark-type moves.;0;0;0;
METALCOAT;151;Metal Coat;Metal Coats;1;100;An item to be held by a Pokémon. It is a special metallic film that ups the power of Steel-type moves.;0;0;0;
SILKSCARF;152;Silk Scarf;Silk Scarves;1;100;An item to be held by a Pokémon. It is a sumptuous scarf that boosts the power of Normal-type moves.;0;0;0;
FLAMEPLATE;153;Flame Plate;Flame Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fire-type moves.;0;0;0;
SPLASHPLATE;154;Splash Plate;Splash Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Water-type moves.;0;0;0;
ZAPPLATE;155;Zap Plate;Zap Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Electric-type moves.;0;0;0;
MEADOWPLATE;156;Meadow Plate;Meadow Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Grass-type moves.;0;0;0;
ICICLEPLATE;157;Icicle Plate;Icicle Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ice-type moves.;0;0;0;
FISTPLATE;158;Fist Plate;Fist Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fighting-type moves.;0;0;0;
TOXICPLATE;159;Toxic Plate;Toxic Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Poison-type moves.;0;0;0;
EARTHPLATE;160;Earth Plate;Earth Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ground-type moves.;0;0;0;
SKYPLATE;161;Sky Plate;Sky Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Flying-type moves.;0;0;0;
MINDPLATE;162;Mind Plate;Mind Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Psychic-type moves.;0;0;0;
INSECTPLATE;163;Insect Plate;Insect Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Bug-type moves.;0;0;0;
STONEPLATE;164;Stone Plate;Stone Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Rock-type moves.;0;0;0;
SPOOKYPLATE;165;Spooky Plate;Spooky Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ghost-type moves.;0;0;0;
DRACOPLATE;166;Draco Plate;Draco Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Dragon-type moves.;0;0;0;
DREADPLATE;167;Dread Plate;Dread Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Dark-type moves.;0;0;0;
IRONPLATE;168;Iron Plate;Iron Plates;1;1000;An item to be held by a Pokémon. It is a stone tablet that boosts the power of Steel-type moves.;0;0;0;
FIREGEM;169;Fire Gem;Fire Gems;1;200;A gem with an essence of fire. When held, it strengthens the power of a Fire-type move only once.;0;0;10;
WATERGEM;170;Water Gem;Water Gems;1;200;A gem with an essence of water. When held, it strengthens the power of a Water-type move only once.;0;0;10;
ELECTRICGEM;171;Electric Gem;Electric Gems;1;200;A gem with an essence of electricity. When held, it strengthens the power of an Electric-type move only once.;0;0;10;
GRASSGEM;172;Grass Gem;Grass Gems;1;200;A gem with an essence of nature. When held, it strengthens the power of a Grass-type move only once.;0;0;10;
ICEGEM;173;Ice Gem;Ice Gems;1;200;A gem with an essence of ice. When held, it strengthens the power of an Ice-type move only once.;0;0;10;
FIGHTINGGEM;174;Fighting Gem;Fighting Gems;1;200;A gem with an essence of combat. When held, it strengthens the power of a Fighting-type move only once.;0;0;10;
POISONGEM;175;Poison Gem;Poison Gems;1;200;A gem with an essence of poison. When held, it strengthens the power of a Poison-type move only once.;0;0;10;
GROUNDGEM;176;Ground Gem;Ground Gems;1;200;A gem with an essence of land. When held, it strengthens the power of a Ground-type move only once.;0;0;10;
FLYINGGEM;177;Flying Gem;Flying Gems;1;200;A gem with an essence of air. When held, it strengthens the power of a Flying-type move only once.;0;0;10;
PSYCHICGEM;178;Psychic Gem;Psychic Gems;1;200;A gem with an essence of the mind. When held, it strengthens the power of a Psychic-type move only once.;0;0;10;
BUGGEM;179;Bug Gem;Bug Gems;1;200;A gem with an insect-like essence. When held, it strengthens the power of a Bug-type move only once.;0;0;10;
ROCKGEM;180;Rock Gem;Rock Gems;1;200;A gem with an essence of rock. When held, it strengthens the power of a Rock-type move only once.;0;0;10;
GHOSTGEM;181;Ghost Gem;Ghost Gems;1;200;A gem with a spectral essence. When held, it strengthens the power of a Ghost-type move only once.;0;0;10;
DRAGONGEM;182;Dragon Gem;Dragon Gems;1;200;A gem with a draconic essence. When held, it strengthens the power of a Dragon-type move only once.;0;0;10;
DARKGEM;183;Dark Gem;Dark Gems;1;200;A gem with an essence of darkness. When held, it strengthens the power of a Dark-type move only once.;0;0;10;
STEELGEM;184;Steel Gem;Steel Gems;1;200;A gem with an essence of steel. When held, it strengthens the power of a Steel-type move only once.;0;0;10;
NORMALGEM;185;Normal Gem;Normal Gems;1;200;A gem with an ordinary essence. When held, it strengthens the power of a Normal-type move only once.;0;0;10;
LIGHTBALL;186;Light Ball;Light Balls;1;100;An item to be held by Pikachu. It is a puzzling orb that raises the Attack and Sp. Atk stat.;0;0;0;
LUCKYPUNCH;187;Lucky Punch;Lucky Punches;1;10;An item to be held by Chansey. It is a pair of gloves that boosts Chansey's critical-hit ratio.;0;0;0;
METALPOWDER;188;Metal Powder;Metal Powders;1;10;An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Defense stat.;0;0;0;
QUICKPOWDER;189;Quick Powder;Quick Powders;1;10;An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Speed stat.;0;0;0;
THICKCLUB;190;Thick Club;Thick Clubs;1;500;An item to be held by Cubone or Marowak. It is a hard bone of some sort that boosts the Attack stat.;0;0;0;
STICK;191;Stick;Sticks;1;200;An item to be held by Farfetch'd. It is a very long and stiff stalk of leek that boosts the critical-hit ratio.;0;0;0;
SOULDEW;192;Soul Dew;Soul Dews;1;200;A wondrous orb to be held by Latios or Latias. It raises both the Sp. Atk and Sp. Def stats.;0;0;0;
DEEPSEATOOTH;193;Deep Sea Tooth;Deep Sea Teeth;1;200;An item to be held by Clamperl. A fang that gleams a sharp silver, it raises the Sp. Atk stat.;0;0;0;
DEEPSEASCALE;194;Deep Sea Scale;Deep Sea Scales;1;200;An item to be held by Clamperl. A scale that shines a faint pink, it raises the Sp. Def stat.;0;0;0;
